Nível	Ordem	Bloco	Tópico Principal	Subtópicos / Conteúdo	Status	Prioridade	Material Gerado	Flashcards	Exercícios	Teste	Revisado
A1	17	Estrutura da Frase	W-Fragen	Wer; Was; Wo; Woher; Wohin; Wann; Wie; Warum; Wie viel; Wie viele	Concluído	-	Sim	Sim	Sim	Sim	-
A1	18	Gramática Básica	Presente dos verbos regulares	Conjugação de lernen, machen, wohnen, spielen; terminações; exercícios de padrão	Concluído	-	Sim	Sim	Sim	Sim	-
A1	19	Gramática Básica	Verbos irregulares importantes no presente	sprechen; lesen; sehen; essen; fahren; schlafen; nehmen; mudanças vocálicas	Concluído	-	Sim	Sim	Sim	Sim	-
A1	20	Gramática Básica	Verbos com mudança de vogal	e → i; e → ie; a → ä; du/er/sie/es; exemplos e comparação	Concluído	-	Sim	Sim	Sim	Sim	-
A1	21	Casos	Nominativo: sujeito da frase	Quem faz a ação; der Mann kommt; die Frau lernt; das Kind spielt	Concluído	-	Sim	Sim	Sim	Sim	-
A1	22	Casos	Acusativo: objeto direto	O que recebe a ação; artigo masculino der → den; ein → einen	Concluído	-	Sim	Sim	Sim	Sim	-
A1	23	Casos	Nominativo vs Acusativo	Comparação prática; Ich sehe den Mann; Der Mann sieht mich; exercícios contrastivos	Concluído	-	Sim	Sim	Sim	Sim	-
A1	24	Casos	Pronomes no acusativo	mich; dich; ihn; sie; es; uns; euch; sie/Sie; verbos comuns com acusativo	Concluído	-	Sim	Sim	Sim	Sim	-
A1	25	Negação	Nicht	Negar verbo, adjetivo, advérbio e frase; posição de nicht; Ich komme nicht	Concluído	-	Sim	Sim	Sim	Sim	-
A1	26	Negação	Kein	Negar substantivos com artigo indefinido ou sem artigo; kein/keine/keinen; diferença entre nicht e kein	Concluído	-	Sim	Sim	Sim	Sim	-
A1	27	Substantivos	Plural dos substantivos	Formas -e, -er, -en, -n, -s, sem mudança; Umlaut no plural; padrões frequentes	Concluído	-	Sim	Sim	Sim	Sim	-
A1	28	Modalverben I	Können	Capacidade e possibilidade; Ich kann Deutsch sprechen; verbo principal no final	Concluído	-	Sim	Sim	Sim	Sim	-
A1	29	Modalverben I	Wollen	Querer; intenção; Ich will lernen; diferença com möchte	Concluído	-	Sim	Sim	Sim	Sim	-
A1	30	Modalverben I	Mögen e möchte	Mögen como gostar; möchte como gostaria; pedidos educados	Concluído	-	Sim	Sim	Sim	Sim	-
A1	31	Modalverben II	Müssen	Obrigação; Ich muss arbeiten; diferença entre muss e brauche	Concluído	-	Sim	Sim	Sim	Sim	-
A1	32	Modalverben II	Sollen	Conselho, recomendação, dever externo; Du sollst lernen	Concluído	-	Sim	Sim	Sim	Sim	-
A1	33	Modalverben II	Dürfen	Permissão e proibição; Du darfst gehen; Du darfst nicht rauchen	Concluído	-	Sim	Sim	Sim	Sim	-
A1	34	Preposições	Preposições com acusativo	für; ohne; gegen; durch; um; bis; exemplos práticos	Concluído	-	Sim	Sim	Sim	Sim	-
A1	35	Conectores Básicos	Conjunções simples sem inversão	und; aber; oder; denn; sondern; frases curtas	Concluído	-	Sim	Sim	Sim	Sim	-
A1	36	Tempo e Rotina	Horas e rotina diária	Wie spät ist es?; um 5 Uhr; morgens; abends; rotina pessoal	Concluído	-	Sim	Sim	Sim	Sim	-
A1	37	Verbos Separáveis	Introdução aos verbos separáveis	aufstehen; einkaufen; anrufen; mitkommen; fernsehen; prefixo no final	Concluído	-	Sim	Sim	Sim	Sim	-
A1	38	Vocabulário	Família	Familienmitglieder; mein Vater; meine Mutter; Geschwister; estado civil básico	Concluído	-	Sim	Sim	Sim	Sim	-
A1	39	Vocabulário	Casa e quarto	Haus; Wohnung; Zimmer; Küche; Bad; Möbel; objetos pessoais	Concluído	-	Sim	Sim	Sim	Sim	-
A1	40	Vocabulário	Hobbies e tempo livre	lesen; Musik hören; Geige spielen; kochen; spazieren gehen; esportes simples	Concluído	-	Sim	Sim	Sim	Sim	-
A1	41	Passado Falado	Introdução ao Perfekt	Ideia geral do passado falado; haben/sein; particípio; frases simples	Concluído	-	Sim	Sim	Sim	Sim	-
A1	42	Revisão A1	Revisão geral A1	Diálogos; mini-histórias; leitura; ditado; teste de gramática; produção oral simples	Concluído	-	Sim	Pulado	Sim	Sim	-
A2	43	Casos	Dativo: função básica	Objeto indireto; para quem/a quem; comparação com português	Concluído	-	Sim	Sim	Sim	Sim	-
A2	44	Casos	Artigos no dativo	dem; der; dem; den + plural n; einem; einer; einem; keinen	Concluído	-	Sim	Sim	Sim	Sim	-
A2	45	Casos	Pronomes no dativo	mir; dir; ihm; ihr; ihm; uns; euch; ihnen/Ihnen	Concluído	-	Sim	Sim	Sim	Sim	-
A2	46	Casos	Acusativo e dativo juntos	Ich gebe dir das Buch; ordem dos objetos; substantivo vs pronome	Concluído	-	Sim	Sim	Sim	Sim	-
A2	47	Verbos com Dativo	Verbos que exigem dativo	helfen; danken; gefallen; gehören; passen; fehlen; antworten	Concluído	-	Sim	Sim	Sim	Sim	-
A2	48	Preposições	Preposições sempre com dativo	mit; nach; bei; seit; von; zu; aus; gegenüber	Concluído	-	Sim	Sim	Sim	Sim	-
A2	49	Wechselpräpositionen	Localização com dativo	in der Schule; auf dem Tisch; an der Wand; wo?	Concluído	-	Sim	Sim	Sim	Sim	-
A2	50	Wechselpräpositionen	Direção com acusativo	in die Schule; auf den Tisch; an die Wand; wohin?	Concluído	-	Sim	Sim	Sim	Sim	-
A2	51	Wechselpräpositionen	Contraste Wo vs Wohin	Ich bin im Haus; Ich gehe ins Haus; exercícios visuais	Concluído	-	Sim	Sim	Sim	Sim	-
A2	52	Preposições de Tempo	Tempo com dativo/acusativo	seit; vor; in; um; am; im; ab; bis; von...bis	Concluído	-	Sim	Sim	Sim	Sim	-
A2	53	Imperativo	Ordens, pedidos e conselhos	du/ihr/Sie; Komm!; Kommt!; Kommen Sie!; bitte; tom educado	Concluído	-	Sim	Sim	Sim	Sim	-
A2	54	Adjetivos	Comparativo	klein, kleiner; gut, besser; viel, mehr; als; comparação simples	Concluído	-	Sim	Sim	Sim	Sim	-
A2	55	Adjetivos	Superlativo	am besten; der beste; irregularidades; uso predicativo e atributivo	Concluído	-	Sim	Sim	Sim	Sim	-
A2	56	Adjetivos	Declinação após artigo definido	der gute Mann; die gute Frau; das gute Kind; plural	Concluído	-	Sim	Sim	Sim	Sim	-
A2	57	Adjetivos	Adjetivos após possessivos e kein	mein guter Freund; meine gute Freundin; kein kleines Problem	Concluído	-	Sim	Sim	Sim	Sim	-
A2	58	Verbos Separáveis	Aprofundamento	Perfekt de verbos separáveis; aufgestanden; eingekauft; separação em subordinadas	Concluído	-	Sim	Sim	Sim	Sim	-
A2	59	Perfekt	Haben ou sein no Perfekt	Movimento, mudança de estado, verbos transitivos; Ich bin gegangen; Ich habe gelernt	Concluído	-	Sim	Sim	Sim	Sim	-
A2	60	Perfekt	Particípio II regular	ge- + radical + -t; gemacht; gelernt; gespielt	Concluído	-	Sim	Sim	Sim	Sim	-
A2	61	Perfekt	Particípio II irregular	gesehen; geschrieben; gegessen; getrunken; gefahren	Concluído	-	Sim	Sim	Sim	Sim	-
A2	62	Perfekt	Perfekt com verbos separáveis e inseparáveis	aufgestanden; eingekauft; besucht; bekommen; verstanden	Concluído	-	Sim	Sim	Sim	Sim	-
A2	63	Passado Escrito	Präteritum de sein, haben e modais	war; hatte; konnte; musste; wollte; sollte; durfte	Concluído	-	Sim	Sim	Sim	Sim	-
A2	64	Conjunções Coordenativas	und, oder, aber, denn, sondern	Uso; posição do verbo; contraste com conectores subordinativos	Concluído	-	Sim	Sim	Sim	Sim	-
A2	65	Subordinadas	Weil	Verbo no final; Ich lerne Deutsch, weil...; causa	Concluído	-	Sim	Sim	Sim	Sim	-
A2	66	Subordinadas	Dass	Relatar opinião, pensamento e fala; Ich glaube, dass...	Concluído	-	Sim	Sim	Sim	Sim	-
A2	67	Subordinadas	Wenn	Condição e repetição temporal; Wenn ich Zeit habe...	Concluído	-	Sim	Sim	Sim	Sim	-
A2	68	Verbos Reflexivos	Introdução aos reflexivos	sich waschen; sich freuen; sich interessieren; pronome reflexivo	Concluído	-	Sim	Sim	Sim	Sim	-
A2	69	Futuro	Werden + infinitivo	Ich werde lernen; planos; previsão; diferença com presente usado como futuro	Concluído	-	Sim	Sim	Sim	Sim	-
A2	70	Pronomes Possessivos	Possessivos no nominativo e acusativo	mein, dein, sein, ihr, unser, euer; mein Bruder; meinen Bruder	Concluído	-	Sim	Sim	Sim	Sim	-
A2	71	Pronomes Possessivos	Possessivos no dativo	mit meinem Bruder; bei meiner Freundin; zu unserem Haus	Concluído	-	Sim	Sim	Sim	Sim	-
A2	72	Pronomes e Objetos	Pronomes acusativo + dativo	Ich gebe es dir; Ich kaufe ihn ihr; ordem natural	Concluído	-	Sim	Sim	Sim	Sim	-
A2	73	Especiais	A palavra doch	Resposta positiva a pergunta negativa; Doch!; uso conversacional básico	Concluído	-	Sim	Sim	Sim	Sim	-
A2	74	Escrita A2	Textos práticos simples	E-mail informal; convite; mensagem curta; descrição de rotina; relato de fim de semana	Concluído	-	Sim	Sim	Sim	Sim	-
A2	75	Revisão A2	Revisão geral A2	Perfekt; dativo; preposições; subordinadas; teste geral; produção oral	Concluído	-	Sim	Sim	Sim	Sim	-
B1	76	Genitivo	Caso genitivo: posse	der Name des Mannes; das Auto meines Bruders; uso formal	Concluído	-	Sim	Sim	Sim	Sim	-
B1	77	Genitivo	Preposições com genitivo	während; wegen; trotz; statt; innerhalb; außerhalb	Concluído	-	Sim	Sim	Sim	Sim	-
B1	78	Adjetivos	Declinação após artigo indefinido	ein guter Mann; eine gute Frau; ein gutes Kind; plural sem artigo	Concluído	-	Sim	Sim	Sim	Sim	-
B1	79	Adjetivos	Declinação sem artigo	guter Wein; kaltes Wasser; deutsche Musik; padrões essenciais	Concluído	-	Sim	Sim	Sim	Sim	-
B1	80	Passiva	Vorgangspassiv no presente	werden + Partizip II; Das Haus wird gebaut; agente com von/durch	Concluído	-	Sim	Sim	Sim	Sim	-
B1	81	Passiva	Vorgangspassiv em outros tempos	wurde gebaut; ist gebaut worden; wird gebaut werden	Concluído	-	Sim	Sim	Sim	Sim	-
B1	82	Relativas	Orações relativas no nominativo	der Mann, der...; die Frau, die...; das Kind, das...	Concluído	-	Sim	Sim	Sim	Sim	-
B1	83	Relativas	Orações relativas no acusativo e dativo	den ich sehe; dem ich helfe; preposição + pronome relativo	Concluído	-	Sim	Sim	Sim	Sim	-
B1	84	Passado	Plusquamperfekt	hatte gemacht; war gegangen; sequência de eventos no passado	Concluído	-	Sim	Sim	Sim	Sim	-
B1	85	Konjunktiv II	Cortesia	würde; hätte; wäre; könnte; Ich hätte gern...; Könnten Sie...?	Concluído	-	Sim	Sim	Sim	Sim	-
B1	86	Konjunktiv II	Desejos e hipóteses	Wenn ich Zeit hätte...; Ich wäre gern...; situações irreais	Concluído	-	Sim	Sim	Sim	Sim	-
B1	87	Infinitivo	Infinitivo com zu	Ich versuche, Deutsch zu lernen; Es ist wichtig, früh aufzustehen	Concluído	-	Sim	Sim	Sim	Sim	-
B1	88	Infinitivo	Um...zu	Finalidade; Ich lerne Deutsch, um in Deutschland zu arbeiten	Concluído	-	Sim	Sim	Sim	Sim	-
B1	89	Substantivos	N-Deklination	der Student, den Studenten; der Mensch; der Kollege; der Junge	Concluído	-	Sim	Sim	Sim	Sim	-
B1	90	Conectores	Conectores lógicos B1	deshalb; trotzdem; obwohl; außerdem; dann; danach; zuerst; schließlich	Concluído	-	Sim	Sim	Sim	Sim	-
B1	91	Verbos com Preposição	Verbos com preposições fixas	warten auf; träumen von; denken an; sprechen über; sich freuen auf/über	Concluído	-	Sim	Sim	Sim	Sim	-
B1	92	Pronominaladverbien	Da- e wo-compounds	darauf; daran; damit; dafür; worauf; woran; womit; wofür	Concluído	-	Sim	Sim	Sim	Sim	-
B1	93	Lassen	O verbo lassen	lassen + infinitivo; sich lassen; Lass mich; Ich lasse mein Fahrrad reparieren	Concluído	-	Sim	Sim	Sim	Sim	-
B1	94	Formação de Palavras	Palavras compostas	Komposita; gênero pelo último substantivo; Donaudampfschifffahrt como exemplo extremo	Concluído	-	Sim	Sim	Sim	Sim	-
B1	95	Formação de Palavras	Prefixos e sufixos comuns	-ung; -heit; -keit; -schaft; -bar; -los; -voll; be-, ver-, ent-	Concluído	-	Sim	Sim	Sim	Sim	-
B1	96	Escrita B1	Resumo, opinião e relato	Zusammenfassung; Meinung äußern; Erfahrung berichten; conectores	Concluído	-	Sim	Sim	Sim	Sim	-
B1	97	Fala B1	Argumentação simples	Ich bin der Meinung...; Meiner Meinung nach...; Vorteile und Nachteile	Concluído	-	Sim	Sim	Sim	Sim	-
B1	98	Revisão B1	Revisão geral B1	Relativas; Konjunktiv II; passiva; conectores; teste escrito e oral	Concluído	-	Sim	Pulado	Sim	Sim	-
B2	99	Passiva	Zustandspassiv	sein + Partizip II; Die Tür ist geschlossen; diferença com Vorgangspassiv	Concluído	-	Sim	Sim	Sim	Sim	-
B2	100	Konjunktiv I	Discurso indireto no presente	Er sagt, er sei...; jornalismo; notícias; neutralidade	Concluído	-	Sim	Sim	Sim	Sim	-
B2	101	Konjunktiv I	Discurso indireto no passado	Er habe gesagt; sie sei gegangen; uso em relatos formais	Concluído	-	Sim	Sim	Sim	Sim	-
B2	102	Nominalização	Transformar verbos em substantivos	das Lernen; die Entscheidung; die Durchführung; estilo formal	Concluído	-	Sim	Sim	Sim	Sim	-
B2	103	Nominalização	Estilo verbal vs nominal	Wir analysieren... vs Die Analyse...; clareza e formalidade	Concluído	-	Sim	Sim	Sim	Sim	-
B2	104	Particípios	Partizip I como adjetivo	der singende Mann; ein lächelndes Kind; uso formal	Concluído	-	Sim	Sim	Sim	Sim	-
B2	105	Particípios	Partizip II como adjetivo	das gekochte Essen; die geschriebene Nachricht; valor passivo/perfeito	Não iniciado	-	Não	-	-	-	-
B2	106	Ordem da Frase	TeKaMoLo	Temporal; Kausal; Modal; Lokal; exemplos práticos	Não iniciado	-	Não	-	-	-	-
B2	107	Ordem da Frase	Ordem complexa com objetos e advérbios	Pronomes antes de substantivos; dativo/acusativo; posição de nicht	Não iniciado	-	Não	-	-	-	-
B2	108	Conectores Avançados	Causa e consequência	da; deshalb; daher; somit; folglich; infolgedessen	Não iniciado	-	Não	-	-	-	-
B2	109	Conectores Avançados	Contraste e concessão	jedoch; allerdings; hingegen; dennoch; obwohl; selbst wenn	Não iniciado	-	Não	-	-	-	-
B2	110	Registro	Formal vs informal	kriegen vs bekommen; machen vs durchführen; Umgangssprache vs Standardsprache	Não iniciado	-	Não	-	-	-	-
B2	111	Textos B2	E-mail formal	Anrede; Betreff; höfliche Formulierungen; Schlussformel; reclamações	Não iniciado	-	Não	-	-	-	-
B2	112	Textos B2	Redação argumentativa	Einleitung; Hauptteil; Schluss; argumentos; contra-argumentos	Não iniciado	-	Não	-	-	-	-
B2	113	Textos B2	Resumo e relatório	Inhaltsangabe; Bericht; Protokoll; linguagem objetiva	Não iniciado	-	Não	-	-	-	-
B2	114	Vocabulário Avançado	Trabalho e carreira	Bewerbung; Lebenslauf; Vorstellungsgespräch; Arbeitsvertrag; Homeoffice	Não iniciado	-	Não	-	-	-	-
B2	115	Vocabulário Avançado	Economia e negócios	Unternehmen; Umsatz; Gewinn; Kosten; Markt; Investition	Não iniciado	-	Não	-	-	-	-
B2	116	Vocabulário Avançado	Meio ambiente	Klimawandel; Nachhaltigkeit; erneuerbare Energie; Mülltrennung	Não iniciado	-	Não	-	-	-	-
B2	117	Vocabulário Avançado	Política e sociedade	Regierung; Wahl; Gesetz; Gesellschaft; Rechte; Pflichten	Não iniciado	-	Não	-	-	-	-
B2	118	Idiomas	Expressões idiomáticas comuns	Daumen drücken; Bahnhof verstehen; auf dem Schlauch stehen; fix und fertig	Não iniciado	-	Não	-	-	-	-
B2	119	Fala B2	Debate e opinião estruturada	Zustimmen; widersprechen; nachfragen; Beispiele geben; Schlussfolgerung	Não iniciado	-	Não	-	-	-	-
B2	120	Revisão B2	Revisão geral B2	Passiva; nominalização; conectores; textos formais; teste B2	Não iniciado	-	Não	-	-	-	-
C1	121	Partículas Modais	Halt, eben, doch, ja, mal, denn, eigentlich	Nuance emocional; tom natural; diferença difícil para falantes de português	Não iniciado	-	Não	-	-	-	-
C1	122	Prefixos Verbais	Prefixos inseparáveis	be-, emp-, ent-, er-, ge-, miss-, ver-, zer-; mudança de sentido	Não iniciado	-	Não	-	-	-	-
C1	123	Regência Avançada	Prefixos que mudam a regência	bestehen aus vs bestehen auf; denken an; sich bedanken bei/für	Não iniciado	-	Não	-	-	-	-
C1	124	Modalidade Avançada	Suposições com verbos modais	müsste; dürfte; könnte; sollte; Er dürfte schon da sein	Não iniciado	-	Não	-	-	-	-
C1	125	Passiva Alternativa	sein + zu + infinitivo	Das Problem ist zu lösen; formalidade; possibilidade/necessidade	Não iniciado	-	Não	-	-	-	-
C1	126	Passiva Alternativa	sich lassen	Das lässt sich machen; Das Problem lässt sich lösen	Não iniciado	-	Não	-	-	-	-
C1	127	Composição Avançada	Substantivos compostos complexos	Fugen-s; Arbeitszimmer; Lebensversicherungsgesellschaft	Não iniciado	-	Não	-	-	-	-
C1	128	Conectores Duplos	je...desto, weder...noch, sowohl...als auch, nicht nur...sondern auch	Correlação; paralelismo; exemplos formais	Não iniciado	-	Não	-	-	-	-
C1	129	Orações Avançadas	Concessivas e restritivas	wenngleich; obgleich; während; sofern; insoweit; soweit	Não iniciado	-	Não	-	-	-	-
C1	130	Partizip I	Partizip I como advérbio e estilo formal	lächelnd antworten; schweigend zuhören; uso literário/jornalístico	Não iniciado	-	Não	-	-	-	-
C1	131	Funktionsverbgefüge	Expressões com verbos funcionais	eine Entscheidung treffen; zur Verfügung stehen; in Betracht ziehen	Não iniciado	-	Não	-	-	-	-
C1	132	Estilo Formal	Estilo nominal vs verbal acadêmico	Nominalstil; Verbalstil; clareza; burocracia; simplificação	Não iniciado	-	Não	-	-	-	-
C1	133	Vocabulário Técnico	Tecnologia e programação	Softwarearchitektur; Schnittstelle; Datenbank; Bereitstellung; Fehlerbehebung	Não iniciado	-	Não	-	-	-	-
C1	134	Vocabulário Técnico	Arquitetura de software	Microservices; Legacy-System; Migration; Wartbarkeit; Skalierbarkeit	Não iniciado	-	Não	-	-	-	-
C1	135	Vocabulário Avançado	Finanças pessoais e investimentos	Zinsen; Rendite; Risiko; Sparplan; Wechselkurs; Inflation	Não iniciado	-	Não	-	-	-	-
C1	136	Vocabulário Avançado	Saúde, alimentação e treino	Ernährung; Krafttraining; Ausdauer; Schlaf; Gewohnheiten; Prävention	Não iniciado	-	Não	-	-	-	-
C1	137	Nuance Lexical	Verbos de movimento e direção	gehen; fahren; laufen; rennen; kommen; bringen; holen; mitnehmen	Não iniciado	-	Não	-	-	-	-
C1	138	Preposições Formais	Genitivo formal	aufgrund; mangels; zwecks; infolge; hinsichtlich; bezüglich	Não iniciado	-	Não	-	-	-	-
C1	139	Idiomas	Expressões com partes do corpo	den Kopf verlieren; ein Auge zudrücken; kalte Füße bekommen	Não iniciado	-	Não	-	-	-	-
C1	140	Argumentação	Opiniões complexas e debate	Einwände; Gegenargumente; Differenzierung; Einschränkungen; Schlussfolgerung	Não iniciado	-	Não	-	-	-	-
C1	141	Falsos Cognatos	Falsos cognatos avançados	eventuell; aktuell; sensibel; bekommen; Gymnasium; Chef	Não iniciado	-	Não	-	-	-	-
C1	142	Humor	Ironia, sarcasmo e humor	Contexto; tom; subentendido; riscos culturais	Não iniciado	-	Não	-	-	-	-
C1	143	Emoções	Expressando emoções complexas	Enttäuschung; Erleichterung; Überforderung; Mitgefühl; Trost; conselhos	Não iniciado	-	Não	-	-	-	-
C1	144	Vocabulário Temático	Natureza, acampamento e vida ao ar livre	Zelt; Schlafsack; Wanderung; Lagerfeuer; Wetter; Ausrüstung	Não iniciado	-	Não	-	-	-	-
C1	145	Escuta	Sotaques variados da Alemanha	Introdução a diferenças regionais; ritmo; pronúncia; vocabulário local	Não iniciado	-	Não	-	-	-	-
C1	146	Escrita C1	E-mails complexos e tom profissional	Reclamação diplomática; negociação; follow-up; pedido formal	Não iniciado	-	Não	-	-	-	-
C1	147	Fala C1	Apresentações e improvisação	Exposição estruturada; perguntas; reformulação; resposta espontânea	Não iniciado	-	Não	-	-	-	-
C1	148	Revisão C1	Revisão geral C1	Nuance; formalidade; debate; textos longos; compreensão auditiva	Não iniciado	-	Não	-	-	-	-
C2	149	Precisão Estilística	Controle de registro e estilo	Formal; informal; acadêmico; jornalístico; literário; técnico	Não iniciado	-	Não	-	-	-	-
C2	150	Escrita C2	Redação acadêmica e profissional avançada	Argumentação densa; coesão; citações; abstração; tom sofisticado	Não iniciado	-	Não	-	-	-	-
C2	151	Retórica C2	Persuasão, nuance e implicatura	Ler o não dito; ironia sutil; atenuação; intensificação	Não iniciado	-	Não	-	-	-	-
C2	152	Gramática Fina	Sutilezas e exceções históricas	Exceções; variação regional; formas raras; escolhas estilísticas	Não iniciado	-	Não	-	-	-	-
C2	153	Leitura C2	Literatura e jornalismo complexo	Metáforas; estilo; opinião implícita; linguagem culturalmente marcada	Não iniciado	-	Não	-	-	-	-
C2	154	Escuta C2	Discursos rápidos e informais	Nativos falando rápido; elipses; gírias; sobreposição; contexto	Não iniciado	-	Não	-	-	-	-
C2	155	Fala C2	Improvisação sem preparação	Responder perguntas difíceis; contar histórias; humor; naturalidade	Não iniciado	-	Não	-	-	-	-
C2	156	Escrita C2	E-mails complexos com diplomacia	Discordar; reclamar; negociar; corrigir; cobrar sem soar rude	Não iniciado	-	Não	-	-	-	-
C2	157	Debate C2	Discordar educadamente ao estilo alemão	Das sehe ich anders; Ich würde einwenden; Einerseits...andererseits	Não iniciado	-	Não	-	-	-	-
C2	158	Cultura Digital	Gírias modernas da internet e memes	Jugendsprache; memes; redes sociais; abreviações; tom informal	Não iniciado	-	Não	-	-	-	-
C2	159	Vocabulário Musical	Música e instrumentos	Geige; Bogen; Saiten; Stimmung; Tonleiter; Harmonie; Üben; Vorspiel	Não iniciado	-	Não	-	-	-	-
C2	160	Pronúncia Avançada	Refinar pronúncia para soar natural	Entonação; ritmo; vogais longas; consoantes finais; redução natural	Não iniciado	-	Não	-	-	-	-
C2	161	Imersão Mental	Pensar em alemão sem traduzir	Monólogo interno; diário; shadowing; reformulação; sonhos e automatização	Não iniciado	-	Não	-	-	-	-
C2	162	Revisão C2	Transição para fluência quase nativa	Produção espontânea; textos longos; escuta real; vocabulário ativo	Não iniciado	-	Não	-	-	-	-
Regional	163	Fränkisch / Erlangen	Dialeto vs Hochdeutsch	O que é dialeto; quando usar; quando evitar; identidade regional	Não iniciado	-	Não	-	-	-	-
Regional	164	Fränkisch / Erlangen	O que é o Fränkisch	Francônio; Baviera/Francônia; diferenças gerais com Hochdeutsch	Não iniciado	-	Não	-	-	-	-
Regional	165	Fränkisch / Erlangen	Fonética da Francônia	Consoantes suaves d/t, b/p; r vibrante; ritmo regional	Não iniciado	-	Não	-	-	-	-
Regional	166	Fränkisch / Erlangen	Cumprimentos locais	Servus; Grüß Gott; Ade; Grüß dich; contexto social	Não iniciado	-	Não	-	-	-	-
Regional	167	Fränkisch / Erlangen	A partícula fei	Uso regional; nuance; exemplos; diferença com halt/doch	Não iniciado	-	Não	-	-	-	-
Regional	168	Fränkisch / Erlangen	Bassd scho	Significado cultural; elogio discreto; ironia possível; contexto	Não iniciado	-	Não	-	-	-	-
Regional	169	Fränkisch / Erlangen	Diminutivo -la	Weggla; Seidla; Schäufelela; efeito afetivo/regional	Não iniciado	-	Não	-	-	-	-
Regional	170	Fränkisch / Erlangen	Comida local I	Schäufele; Kloß; Bratwurst; vocabulário de restaurante	Não iniciado	-	Não	-	-	-	-
Regional	171	Fränkisch / Erlangen	Comida local II	Drei im Weggla; Keller; Brotzeit; pedir comida local	Não iniciado	-	Não	-	-	-	-
Regional	172	Fränkisch / Erlangen	Vida em Erlangen	FAU; estudantes; bicicletas; centro; vocabulário da cidade	Não iniciado	-	Não	-	-	-	-
Regional	173	Fränkisch / Erlangen	Keller / Biergarten	Cultura local; pedir bebida/comida; frases práticas	Não iniciado	-	Não	-	-	-	-
Regional	174	Fränkisch / Erlangen	Bergkirchweih	Der Berg; festival; vocabulário; comportamento social	Não iniciado	-	Não	-	-	-	-
Regional	175	Fränkisch / Erlangen	Buckenhof e transporte	Vizinhança; ônibus; bicicleta; compras; localização prática	Não iniciado	-	Não	-	-	-	-
Regional	176	Fränkisch / Erlangen	Small talk com moradores	Vizinhos; clima; rotina; elogios discretos; limites culturais	Não iniciado	-	Não	-	-	-	-
